,Share,Warehouse_cost,Warehouse_sizes,Km_cost,Total_cost,Warehouses_Built,Basel,Bern,Biel,Chur,Fribourg,Geneva,Lausanne,Lucerne,Lugano,Montreux,Saint Gallen,Schaffhausen,Sion,Thun,Winterthur,Zug,Zurich
0,0.2,"[10000000, 25000000]","[100000, 250000]",3,30000000,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1,0.2,"[10000000, 25000000]","[100000, 250000]",4,46828965,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
2,0.2,"[10000000, 25000000]","[100000, 250000]",5,46828965,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
3,0.2,"[10000000, 25000000]","[100000, 250000]",6,46828965,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
4,0.2,"[10000000, 25000000]","[100000, 250000]",7,63657930,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
5,0.2,"[10000000, 25000000]","[100000, 250000]",8,63657930,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
6,0.2,"[10000000, 25000000]","[100000, 250000]",9,63657930,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
7,0.2,"[10000000, 25000000]","[100000, 250000]",10,77469608,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
8,0.2,"[10000000, 25000000]","[100000, 250000]",11,77469608,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
9,0.2,"[10000000, 25000000]","[100000, 250000]",12,77469608,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
10,0.2,"[10000000, 25000000]","[100000, 250000]",13,77469608,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
11,0.2,"[10000000, 25000000]","[100000, 250000]",14,86626144,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
