	Share	Warehouse_cost	Warehouse_sizes	Km_cost	Total_cost	Warehouses_Built	Basel	Bern	Biel	Chur	Fribourg	Geneva	Lausanne	Lucerne	Lugano	Montreux	Saint Gallen	Schaffhausen	Sion	Thun	Winterthur	Zug	Zurich
0	0.05	[10000000, 25000000]	[100000, 250000]	8	10000000	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0.06	[10000000, 25000000]	[100000, 250000]	8	10000000	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0.07	[10000000, 25000000]	[100000, 250000]	8	20000000	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0.08	[10000000, 25000000]	[100000, 250000]	8	20000000	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0.09	[10000000, 25000000]	[100000, 250000]	8	27835047	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
5	0.1	[10000000, 25000000]	[100000, 250000]	8	28705769	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
6	0.11	[10000000, 25000000]	[100000, 250000]	8	29576300	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
7	0.12	[10000000, 25000000]	[100000, 250000]	8	30999181	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
8	0.13	[10000000, 25000000]	[100000, 250000]	8	32766102	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
9	0.14	[10000000, 25000000]	[100000, 250000]	8	39614731	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
10	0.15	[10000000, 25000000]	[100000, 250000]	8	40763855	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
11	0.16	[10000000, 25000000]	[100000, 250000]	8	41998061	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
12	0.17	[10000000, 25000000]	[100000, 250000]	8	56527040	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
13	0.18	[10000000, 25000000]	[100000, 250000]	8	58978308	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
14	0.19	[10000000, 25000000]	[100000, 250000]	8	61428978	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1
15	0.2	[10000000, 25000000]	[100000, 250000]	8	63657930	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1
16	0.21	[10000000, 25000000]	[100000, 250000]	8	66811454	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
17	0.22	[10000000, 25000000]	[100000, 250000]	8	68335960	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
18	0.23	[10000000, 25000000]	[100000, 250000]	8	69890186	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
19	0.24	[10000000, 25000000]	[100000, 250000]	8	71511246	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
