Node 1,Node 2,Distance (KM)
Zurich ,Geneva,  282  
Zurich ,Basel,  85  
Zurich ,Bern,  130  
Zurich ,Lausanne,  225  
Zurich ,Winterthur,  27  
Zurich ,Lucerne,  51  
Zurich ,Saint Gallen,  85  
Zurich ,Biel ,117
Zurich ,Thun ,150
Zurich ,Schaffhausen ,51
Zurich ,Fribourg ,159
Zurich ,Chur ,121
Zurich ,Sion ,277
Zurich ,Lugano ,208
Zurich ,Zug ,35
Zurich ,Montreux ,211
Geneva ,Zurich,  282  
Geneva ,Basel,  251  
Geneva ,Bern,  161  
Geneva ,Lausanne,  71  
Geneva ,Winterthur,  301  
Geneva ,Lucerne,  266  
Geneva ,Saint Gallen,  360  
Geneva ,Biel ,161
Geneva ,Thun ,190
Geneva ,Schaffhausen ,325
Geneva ,Fribourg ,140
Geneva ,Chur ,399
Geneva ,Sion ,163
Geneva ,Lugano ,370
Geneva ,Zug ,290
Geneva ,Montreux ,95
Basel ,Zurich,  85  
Basel ,Geneva,  251  
Basel ,Bern,  111  
Basel ,Lausanne,  187  
Basel ,Winterthur,  106  
Basel ,Lucerne,  95  
Basel ,Saint Gallen,  164  
Basel ,Biel ,90
Basel ,Thun ,122
Basel ,Schaffhausen ,130
Basel ,Fribourg ,130
Basel ,Chur ,204
Basel ,Sion ,249
Basel ,Lugano ,266
Basel ,Zug ,108
Basel ,Montreux ,182
Bern ,Zurich,  130  
Bern ,Geneva,  161  
Bern ,Basel,  111  
Bern ,Lausanne,  105  
Bern ,Winterthur,  159  
Bern ,Lucerne,  116  
Bern ,Saint Gallen,  217  
Bern ,Biel ,53
Bern ,Thun ,27
Bern ,Schaffhausen ,175
Bern ,Fribourg ,37
Bern ,Chur ,248
Bern ,Sion ,156
Bern ,Lugano ,293
Bern ,Zug ,138
Bern ,Montreux ,90
Lausanne ,Zurich,  225  
Lausanne ,Geneva,  71  
Lausanne ,Basel,  187  
Lausanne ,Bern,  105  
Lausanne ,Winterthur,  246  
Lausanne ,Lucerne,  209  
Lausanne ,Saint Gallen,  304  
Lausanne ,Biel ,109
Lausanne ,Thun ,137
Lausanne ,Schaffhausen ,269
Lausanne ,Fribourg ,72
Lausanne ,Chur ,343
Lausanne ,Sion ,95
Lausanne ,Lugano ,380
Lausanne ,Zug ,233
Lausanne ,Montreux ,29
Winterthur ,Zurich,  27  
Winterthur ,Geneva,  301  
Winterthur ,Basel,  106  
Winterthur ,Bern,  159  
Winterthur ,Lausanne,  246  
Winterthur ,Lucerne,  77  
Winterthur ,Saint Gallen,  56  
Winterthur ,Biel ,140
Winterthur ,Thun ,172
Winterthur ,Schaffhausen ,34
Winterthur ,Fribourg ,183
Winterthur ,Chur ,159
Winterthur ,Sion ,298
Winterthur ,Lugano ,240
Winterthur ,Zug ,71
Winterthur ,Montreux ,232
Lucerne ,Zurich,  51  
Lucerne ,Geneva,  266  
Lucerne ,Basel,  95  
Lucerne ,Bern,  116  
Lucerne ,Lausanne,  209  
Lucerne ,Winterthur,  77  
Lucerne ,Saint Gallen,  143  
Lucerne ,Biel ,105
Lucerne ,Thun ,97
Lucerne ,Schaffhausen ,101
Lucerne ,Fribourg ,145
Lucerne ,Chur ,143
Lucerne ,Sion ,267
Lucerne ,Lugano ,171
Lucerne ,Zug ,31
