Postal Code,City,Administrative Region,Population,Area
8000,Zürich,Canton of Zürich,—,—
8001,Zürich,Canton of Zürich,14.094,1.86 km²
8002,Zürich,Canton of Zürich,12.850,2.847 km²
8003,Zürich,Canton of Zürich,10.317,1.443 km²
8004,Zürich,Canton of Zürich,18.587,2.326 km²
8005,Zürich,Canton of Zürich,17.072,2.205 km²
8006,Zürich,Canton of Zürich,14.198,1.968 km²
8008,Zürich,Canton of Zürich,15.911,4.722 km²
8010,Zürich,Canton of Zürich,—,—
8011,Zürich,Canton of Zürich,—,—
8012,Zürich,Canton of Zürich,—,—
8015,Zürich,Canton of Zürich,—,—
8016,Zürich,Canton of Zürich,—,—
8020,Zürich,Canton of Zürich,—,—
8021,Zürich,Canton of Zürich,—,—
8022,Zürich,Canton of Zürich,—,—
8023,Zürich,Canton of Zürich,—,—
8024,Zürich,Canton of Zürich,—,—
8026,Aussersihl,Canton of Zürich,—,—
8027,Zürich,Canton of Zürich,—,—
8030,Zürich,Canton of Zürich,—,—
8031,Zürich,Canton of Zürich,—,—
8032,Zürich,Canton of Zürich,15.764,3.538 km²
8033,Zürich,Canton of Zürich,—,—
8034,Zürich,Canton of Zürich,—,—
8036,Zürich,Canton of Zürich,—,—
8037,Zürich,Canton of Zürich,10.129,2.271 km²
8038,Zürich,Canton of Zürich,16.995,4.643 km²
8039,Zürich,Canton of Zürich,—,—
8040,Zürich,Canton of Zürich,—,—
8041,Zürich,Canton of Zürich,7.357,4.156 km²
8042,Zürich,Canton of Zürich,—,—
8045,Zürich,Canton of Zürich,11.535,3.775 km²
8046,Zürich,Canton of Zürich,19.394,6.9 km²
8047,Zürich,Canton of Zürich,15.645,2.472 km²
8048,Zürich,Canton of Zürich,31.337,6.3 km²
8049,Zürich,Canton of Zürich,22.354,5.8 km²
8050,Zürich,Canton of Zürich,29.092,3.921 km²
8051,Zürich,Canton of Zürich,16.408,4.271 km²
8052,Zürich,Canton of Zürich,17.922,4.006 km²
8053,Zürich,Canton of Zürich,9.226,5.5 km²
8055,Zürich,Canton of Zürich,14.240,5 km²
8057,Zürich,Canton of Zürich,17.788,3.33 km²
8059,Zürich,Canton of Zürich,—,—
8061,Zürich,Canton of Zürich,—,—
8063,Zürich,Canton of Zürich,—,—
8064,Zürich,Canton of Zürich,9.917,1.611 km²
8066,Altstetten (Zürich),Canton of Zürich,—,—
8068,Zürich,Canton of Zürich,—,—
8070,Zürich,Canton of Zürich,—,—
8071,Zürich,Canton of Zürich,—,—
8074,Zürich,Canton of Zürich,—,—
8075,Zürich,Canton of Zürich,—,—
8080,Zürich,Canton of Zürich,—,—
8081,Zürich,Canton of Zürich,—,—
8085,Zürich,Canton of Zürich,—,—
8086,Zürich,Canton of Zürich,—,—
8087,Zürich,Canton of Zürich,—,—
8088,Zürich,Canton of Zürich,—,—
8090,Zürich,Canton of Zürich,—,—
8091,Zürich,Canton of Zürich,—,—
8092,Zürich,Canton of Zürich,—,—
8093,Zürich,Canton of Zürich,—,—
8096,Zürich,Canton of Zürich,—,—
8098,Zürich,Canton of Zürich,—,—
8099,Zürich,Canton of Zürich,—,—
